username,full_name,role,department,password
admin01,Admin Kullanıcı 01,admin,IT Yönetim,Passw0rd!
admin02,Admin Kullanıcı 02,admin,IT Yönetim,Passw0rd!
admin03,Admin Kullanıcı 03,admin,IT Yönetim,Passw0rd!
admin04,Admin Kullanıcı 04,admin,IT Yönetim,Passw0rd!
admin05,Admin Kullanıcı 05,admin,IT Yönetim,Passw0rd!
admin06,Admin Kullanıcı 06,admin,IT Yönetim,Passw0rd!
admin07,Admin Kullanıcı 07,admin,IT Yönetim,Passw0rd!
admin08,Admin Kullanıcı 08,admin,IT Yönetim,Passw0rd!
admin09,Admin Kullanıcı 09,admin,IT Yönetim,Passw0rd!
admin10,Admin Kullanıcı 10,admin,IT Yönetim,Passw0rd!
ms01,MS Staff 01,ms,Microsoft Services,Passw0rd!
ms02,MS Staff 02,ms,Microsoft Services,Passw0rd!
ms03,MS Staff 03,ms,Microsoft Services,Passw0rd!
ms04,MS Staff 04,ms,Microsoft Services,Passw0rd!
ms05,MS Staff 05,ms,Microsoft Services,Passw0rd!
ms06,MS Staff 06,ms,Microsoft Services,Passw0rd!
ms07,MS Staff 07,ms,Microsoft Services,Passw0rd!
ms08,MS Staff 08,ms,Microsoft Services,Passw0rd!
ms09,MS Staff 09,ms,Microsoft Services,Passw0rd!
ms10,MS Staff 10,ms,Microsoft Services,Passw0rd!
network01,Network Staff 01,network,Network Operations,Passw0rd!
network02,Network Staff 02,network,Network Operations,Passw0rd!
network03,Network Staff 03,network,Network Operations,Passw0rd!
network04,Network Staff 04,network,Network Operations,Passw0rd!
network05,Network Staff 05,network,Network Operations,Passw0rd!
network06,Network Staff 06,network,Network Operations,Passw0rd!
network07,Network Staff 07,network,Network Operations,Passw0rd!
network08,Network Staff 08,network,Network Operations,Passw0rd!
network09,Network Staff 09,network,Network Operations,Passw0rd!
network10,Network Staff 10,network,Network Operations,Passw0rd!
technical01,Technical Staff 01,technical,Technical Support,Passw0rd!
technical02,Technical Staff 02,technical,Technical Support,Passw0rd!
technical03,Technical Staff 03,technical,Technical Support,Passw0rd!
technical04,Technical Staff 04,technical,Technical Support,Passw0rd!
technical05,Technical Staff 05,technical,Technical Support,Passw0rd!
technical06,Technical Staff 06,technical,Technical Support,Passw0rd!
technical07,Technical Staff 07,technical,Technical Support,Passw0rd!
technical08,Technical Staff 08,technical,Technical Support,Passw0rd!
technical09,Technical Staff 09,technical,Technical Support,Passw0rd!
technical10,Technical Staff 10,technical,Technical Support,Passw0rd!
user01,Banka Kullanıcı 01,user,Şube Operasyon,Passw0rd!
user02,Banka Kullanıcı 02,user,Risk Yönetimi,Passw0rd!
user03,Banka Kullanıcı 03,user,Kredi Operasyon,Passw0rd!
user04,Banka Kullanıcı 04,user,Dijital Bankacılık,Passw0rd!
user05,Banka Kullanıcı 05,user,Finans,Passw0rd!
user06,Banka Kullanıcı 06,user,Kart Operasyon,Passw0rd!
user07,Banka Kullanıcı 07,user,Uyum,Passw0rd!
user08,Banka Kullanıcı 08,user,İnsan Kaynakları,Passw0rd!
user09,Banka Kullanıcı 09,user,Hazine,Passw0rd!
user10,Banka Kullanıcı 10,user,Müşteri Deneyimi,Passw0rd!
user11,Banka Kullanıcı 11,user,Şube Operasyon,Passw0rd!
user12,Banka Kullanıcı 12,user,Risk Yönetimi,Passw0rd!
user13,Banka Kullanıcı 13,user,Kredi Operasyon,Passw0rd!
user14,Banka Kullanıcı 14,user,Dijital Bankacılık,Passw0rd!
user15,Banka Kullanıcı 15,user,Finans,Passw0rd!
user16,Banka Kullanıcı 16,user,Kart Operasyon,Passw0rd!
user17,Banka Kullanıcı 17,user,Uyum,Passw0rd!
user18,Banka Kullanıcı 18,user,İnsan Kaynakları,Passw0rd!
user19,Banka Kullanıcı 19,user,Hazine,Passw0rd!
user20,Banka Kullanıcı 20,user,Müşteri Deneyimi,Passw0rd!
user21,Banka Kullanıcı 21,user,Şube Operasyon,Passw0rd!
user22,Banka Kullanıcı 22,user,Risk Yönetimi,Passw0rd!
user23,Banka Kullanıcı 23,user,Kredi Operasyon,Passw0rd!
user24,Banka Kullanıcı 24,user,Dijital Bankacılık,Passw0rd!
user25,Banka Kullanıcı 25,user,Finans,Passw0rd!
user26,Banka Kullanıcı 26,user,Kart Operasyon,Passw0rd!
user27,Banka Kullanıcı 27,user,Uyum,Passw0rd!
user28,Banka Kullanıcı 28,user,İnsan Kaynakları,Passw0rd!
user29,Banka Kullanıcı 29,user,Hazine,Passw0rd!
user30,Banka Kullanıcı 30,user,Müşteri Deneyimi,Passw0rd!
user31,Banka Kullanıcı 31,user,Şube Operasyon,Passw0rd!
user32,Banka Kullanıcı 32,user,Risk Yönetimi,Passw0rd!
user33,Banka Kullanıcı 33,user,Kredi Operasyon,Passw0rd!
user34,Banka Kullanıcı 34,user,Dijital Bankacılık,Passw0rd!
user35,Banka Kullanıcı 35,user,Finans,Passw0rd!
user36,Banka Kullanıcı 36,user,Kart Operasyon,Passw0rd!
user37,Banka Kullanıcı 37,user,Uyum,Passw0rd!
user38,Banka Kullanıcı 38,user,İnsan Kaynakları,Passw0rd!
user39,Banka Kullanıcı 39,user,Hazine,Passw0rd!
user40,Banka Kullanıcı 40,user,Müşteri Deneyimi,Passw0rd!
user41,Banka Kullanıcı 41,user,Şube Operasyon,Passw0rd!
user42,Banka Kullanıcı 42,user,Risk Yönetimi,Passw0rd!
user43,Banka Kullanıcı 43,user,Kredi Operasyon,Passw0rd!
user44,Banka Kullanıcı 44,user,Dijital Bankacılık,Passw0rd!
user45,Banka Kullanıcı 45,user,Finans,Passw0rd!
user46,Banka Kullanıcı 46,user,Kart Operasyon,Passw0rd!
user47,Banka Kullanıcı 47,user,Uyum,Passw0rd!
user48,Banka Kullanıcı 48,user,İnsan Kaynakları,Passw0rd!
user49,Banka Kullanıcı 49,user,Hazine,Passw0rd!
user50,Banka Kullanıcı 50,user,Müşteri Deneyimi,Passw0rd!
